epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.835616409778595,0.9057531952857971,1677.0,1947.0,1.1573463678359985,0.8276380896568298,0.8479049801826477,9073.0,9349.0,0.8170598745346069,0.9477128386497498,25.0,479.0,0.9026659727096558,0.7393906712532043,0.9819363951683044,892.0,1359.0
1,0.9174907207489014,0.9433280229568481,496.0,1323.0,0.797913134098053,0.8883638381958008,0.9550072550773621,9699.0,10528.0,0.7644283175468445,0.9500601887702942,13.0,636.0,1.1371185779571533,0.6846802234649658,0.9906743168830872,725.0,1381.0
2,0.9214370250701904,0.9455842971801758,505.0,1227.0,0.7528583407402039,0.8955655694007874,0.9542033076286316,9792.0,10522.0,0.9027222990989685,0.9622209668159485,27.0,241.0,0.7385819554328918,0.849656879901886,0.9805615544319153,1125.0,1362.0
3,0.9301460385322571,0.9554452300071716,558.0,982.0,0.7908185720443726,0.9142133593559265,0.9493785500526428,10041.0,10465.0,0.872958242893219,0.9613621830940247,24.0,326.0,0.8752166032791138,0.8092451691627502,0.9829424023628235,1022.0,1383.0
4,0.9322779774665833,0.9611667394638062,571.0,922.0,0.8381680250167847,0.9189664125442505,0.9482179880142212,10097.0,10456.0,0.8333938121795654,0.9575438499450684,13.0,446.0,0.8733741641044617,0.755750298500061,0.9906676411628723,916.0,1380.0
5,0.9353170394897461,0.9630094766616821,570.0,856.0,0.7561659216880798,0.9243080615997314,0.9482899308204651,10167.0,10453.0,0.888566255569458,0.9638421535491943,14.0,293.0,0.7228728532791138,0.822853684425354,0.9898181557655334,1087.0,1361.0
6,0.9383108019828796,0.9624438285827637,487.0,873.0,0.6878579258918762,0.9234814643859863,0.9558196663856506,10150.0,10536.0,0.8994555473327637,0.965376615524292,21.0,256.0,0.676760196685791,0.8423645496368408,0.9848812222480774,1110.0,1368.0
